"Summary: In the year 2063, interstellar space travel has become the norm. What sort of adventure awaits on the new frontier? It's the first day of Planet Camp, and Aries Spring couldnʼt be more excited! She, along with eight other strangers, leave for Planet McPa for a weeklong excursion. Soon after they arrive, however, a mysterious orb appears and transports them into the depths of space, where they find an empty floating spaceship. Will it be their salvation or geth them further lost in space? (Book cover)",1211228,,MF AST: SHI,approximately 200 pages : chiefly illustrations.,,,Shonen Jump Manga edition.,,,9.78142E+12,,,Reads from right to left. Translated from the Japanese.,,"San Francisco, CA",2017,2017,,"Kenta Shinohara ; translation, Adrienne Beck.",,"Astra, lost in space. Planet camp. Volume 1",,,,,Monograph,text,,,,,"Shinohara, Kenta",,Viz Media,"Astra, lost in space; 1Shonen Jump manga; ","Space flight - FictionInterplanetary voyages - FictionLife on other planets - FictionSpace flightGraphic novelsManga",,,
"Summary: In the year 2063, interstellar space travel has become the norm. The situation aboard the Astra intensifies as Zack reveals to Kanata that the ship's communication system has recently been sabotaged and it's likely one among them is the culprit! The crew members are overtaken with confusion and anger and begin questioning each other's motives. Suddenly, the side of the Astra explodes! The controls and gravity system shut down, and the Astra is set on a collision course with the planet Shummoor.",1211227,,MF AST: SHI,approximately 200 pages : chiefly illustrations.,,,Shonen Jump Manga edition.,,,9.78142E+12,,,Reads from right to left. Translated from the Japanese.,,"San Francisco, CA",2018,2018,,"Kenta Shinohara ; translation, Adrienne Beck.",,"Astra, lost in space. Star of hope. Volume 2",,,,,Monograph,text,,,,,"Shinohara, Kenta",,Viz Media,"Astra, lost in space; 2Shonen Jump manga; ","Space flight - FictionInterplanetary voyages - FictionLife on other planets - FictionSpace flightGraphic novelsManga",,,
,1265638,,CLA PREP SMI,16 p. : col. ill.,,,,,,170105431,,,,,"Southbank, Vic.",2002,2002,,[text Annette Smith and Jenny Giles].,,At the zoo,,,,,Monograph,text,,,,,"Smith, AnnetteGiles, Jenny",,Thomson Learning,PM benchmark; Level 2,Zoos - Fiction,,,
"Summary:Christina Starspeeder made it through her first year at the advanced Jedi Academy, barely And year two isn't looking any easier! Christina still apprentices under Jedi Master Skia Ro while enduring the non-stop sass from droid Q-13. But this year, she has to balance her studies with constant travel, accompanying Skia Ro on non-stop trips to new worlds full of cool creatures. And those cool creatures are the start of all Christina's problems this year.",1231705,,PF STA: KRO,176 pages : chiefly illustrations.,,,,,,9.78174E+12,,,,,"Lindfield, NSW",2019,2019,,written by Jarrett J. Krosoczka and Amy Ignatow.,,Attack of the furball,,,,,Monograph,text,,,,,"Krosoczka, Jarrett JIgnatow, Amy",,Scholastic Australia,"Star Wars. Jedi Academy; 8Star Wars; 8","Life on other planets - FictionRobots - FictionAliensAndroidsGraphic novels",,,
"Summary: Tyler Jones has been training since he was thirteen years old for this day -- the Andromeda Academy Draft. Today he gets to pick out the squad that will serve with him through his final year of training. Today is the start of his squad's legend. But the unimaginable happens: he discovers the Hadfield, a legendary colony ship lost for more than two centuries. The rescue is death defying, and Ty is able to save the ship's one survivor: eighteen year old Alexandra O'Malley. But by the time he returns to Andromeda Academy, he's in hot water with the Academy brass, and worse, he's missed the Draft. Ty is left with the dregs of the Academy's cadets -- the losers nobody wanted. When they are marooned on a remote colony world, can the group put aside their differences long enough to get back to Andromeda Station, or will they kill each other before the bioweapon does?",1266373,,MF KAU,470 pages.,,,,,,9.78176E+12,,,,,"Crows Nest, NSW",2019,2019,,Amie Kaufman & Jay Kristoff.,,Aurora rising,,,,,Monograph,text,,,,,"Kaufman, AmieKristoff, Jay",,Allen & Unwin,Aurora cycle; 1,"Life on other planets - FictionSpace flight - FictionSpace stations - FictionAliensSpace flightSpace stations",,,
,1266396,,TR 028.5 AUS,76 pages : illustrations (some colour),,,,,,9.78098E+12,,,,,"Raceview, [Queensland]",2016,2016,,"[editors, Michelle Witheyman-Crump, Megan Daley, Jenny Stubbs].",,Australia : story country : Children's Bookweek 2016,,,,,Monograph,text,,,,,"Witheyman-Crump, MichelleStubbs, JennyDaley, Megan",,Ipswich District Teacher-Librarian Network,,"Children's Book WeekBooks and readingBooksReadingChildren's literatureClassroom activities",,,
,1251977,,TR 423 AUS,"xxiv, 819 pages.",,,Third edition.,,,9.78019E+12,,,,,South Melbourne,2016,2016,,edited by Mark Gwynn ; grammar and reference guide written by Margaret Mackenzie and Susan Leslie.,,Australian integrated primary : the future of Australian English : Oxford dictionary & thesaurus,,,,,Monograph,text,,,,,"Gwynn, MarkMackenzie, MargaretLeslie, Susan",,Oxford University Press,,"English language - DictionariesEnglish language - Synonyms and antonymsEnglish languageDictionariesSynonyms",,,"Oxford Australian integrated primary dictionary & thesaurusOxford dictionary & thesaurus"
"Summary: Fully integrated primary dictionary and thesaurus. It draws on the very latest Australian research into the words most commonly used by Australian children in Years 3 and 4, and combines a dictionary and thesaurus using an innovative 'one-stop' entry format. (Publisher)",1231724,,CS 423 AUS,789 pages.,,,Second edition.,,,9.78019E+12,,,,,South Melbourne,2018,2018,,edited by Amanda Laugesen & Mark Gwynn.,,Australian middle primary Oxford dictionary & thesaurus : the future of Australian English,,,,,Monograph,text,,,,,"Gwynn, MarkLaugesen, Amanda",,Oxford University Press,,"English language - DictionariesAustralian English - DictionariesEnglish language - Synonyms and antonyms - DictionariesAustralian EnglishEnglish languageDictionariesThesaurusesSynonyms",,,Australian middle primary Oxford dictionary and thesaurus. : the future of Australian English
"Summary: Fully integrated primary dictionary and thesaurus. It draws on the very latest Australian research into the words most commonly used by Australian children in Years 3 and 4, and combines a dictionary and thesaurus using an innovative 'one-stop' entry format. (Publisher)",1252000,,TR 423 AUS,789 pages.,,,Second edition.,,,9.78019E+12,,,,,South Melbourne,2018,2018,,edited by Amanda Laugesen & Mark Gwynn.,,Australian middle primary Oxford dictionary & thesaurus : the future of Australian English,,,,,Monograph,text,,,,,"Gwynn, MarkLaugesen, Amanda",,Oxford University Press,,"English language - DictionariesAustralian English - DictionariesEnglish language - Synonyms and antonyms - DictionariesAustralian EnglishEnglish languageDictionariesThesaurusesSynonyms",,,Australian middle primary Oxford dictionary and thesaurus. : the future of Australian English
"Summary: In this companion to Australian Birds, Matt Chun takes to the oceans to explore Australia's most fascinating sea creatures, from the great white shark to the tiny soldier crab.",1251960,,JNF 591.77 CHU,36 pages : colour illustrations.,,,,,,9.78176E+12,,,,,"Richmond, VIC",2019,2019,,Matt Chun.,,Australian sea life,,,,,Monograph,text,,,,,"Chun, Matt",,Hardie Grant Egmont,,"Animals - AustraliaMarine animals - Pictorial worksAnimalsMarine habitats",,,
"Summary: Australia's energy system is undergoing major transformation, driven by economic, environmental and engineering factors. Consumer preferences are also changing as we seek greater independence and control over our electricity supply through smart meters, solar panels, battery storage and electric vehicles. Most of Australia's energy supply still heavily relies on its traditional, non-renewable resources of coal, oil and gas - yet Australia has plentiful clean energy renewable resources including solar, wind, geothermal, bioenergy, wave and tidal power. We also have the world's largest reserves of uranium to rely on - should we ever decide to choose controversial nuclear power as part of our energy mix. A secure supply of affordable, reliable and environmentally sustainable energy is essential to the nation's future growth and prosperity. What are the pros and cons of Australia's various energy options? Are we adapting quickly enough to renewables or clinging too long to fossil fuels, at a time when other advanced economies are leaving non-renewables behind to counter the impacts of greenhouse gas emissions on climate change? Australia's energy policy debate is far from settled - so how should we power into the future?",1266380,,333.79 AUS,60 pages : colour illustrations.,,,,,,9.78192E+12,,,,,"Thirroul, NSW",2020,2020,,edited by Justin Healey.,,Australia's energy debate,,,,,Monograph,text,,,,,"Healey, Justin",,Spinney Press,Issues in society; 454,"Energy resources - FutureEnergy policyElectric power productionEnergy resources - AustraliaPower generationRenewable energyGovernment policyEnergy resources",,,
"Summary: When Aang, Katara, Sokka, and Toph return to Earthen Fire Industries--the factory owned by Toph's father--Team Avatar finds that the once small town is now booming. Expecting a warm welcome, Aang is surprised when their arrival is met with unimpressed, cold-shouldered spectators. As soon as the team is asked for help at a business council meeting, the reason for the slight becomes clear--a massive bender versus non-bender conflict has gripped the town and is threatening to turn violent. (Back cover)",1211229,,PF AVA: HIC,75 pages : chiefly colour illustrations.,,,First edition.,,,9.78151E+12,,,"At head of series title: Nickelodeon. Created by Bryan Konietzko, Michael Dante DiMartino.",,"Milwaukie, OR",2018,2018,,"script, Faith Erin Hicks ; art , Peter Wartman ; lettering, Richard Starkings & Comicraft's Jimmy Betancourt.",,"Avatar, the last airbender. Imbalance. Part one",,,,,Monograph,graphic,,,,,"Hicks, Faith ErinWartman, PeterStarkings, RichardBetancourt, Jimmy",,Dark Horse Books,"Avatar, the last Airbender; ","Heroes - FictionPsychokinesis - FictionMartial arts - FictionTribes and tribal system - FictionFamily - FictionHeroesMartial artsPsychokinesisTribalismFamiliesFictionGraphic novels",,,"Avatar, the last Airbender. Imbalance. Part oneAvatar, the last Airbender (Television program)"
"Summary: There's something fishy going on in Cranefish Town, and it's up to Aang, Katara, Sokka, and Toph to find out what before the simmering conflict between the benders and non-benders boils over into violence. But dangers lurk where they least expect it, and uncovering the truth will reveal a threat unlike any they've ever faced - and a fateful choice for Aang that he can never unmake!",1211230,,PF AVA: HIC,75 pages : chiefly colour illustrations.,,,First edition.,,,9.78151E+12,,,"At head of series title: Nickelodeon. Created by Bryan Konietzko, Michael Dante DiMartino.",,"Milwaukie, OR",2019,2019,,"script, Faith Erin Hicks ; art, Peter Wartman ; colors, Adele Matera ; lettering, Richard Starkings & Comicraft's Jimmy Betancourt.",,"Avatar, the last airbender. Imbalance. Part two",,,,,Monograph,graphic,,,,,"Hicks, Faith ErinWartman, Peter",,Dark Horse Books,"Avatar, the last Airbender; 2","Heroes - FictionPsychokinesis - FictionMartial arts - FictionHeroesMartial artsPsychokinesisFictionGraphic novels",,,"Avatar, the last Airbender. Imbalance. Part twoAvatar, the last Airbender (Television program)"
"Summary: In this book, Suzie the scientist helps us learn about baby animals. We learn that some baby animals look like their parents while others look nothing like their parents. Suzie also shows us how all baby animals eventually grow up to look like their parents. (Back cover)",1231575,,HR 19: 571.8 OSB,16 pages : colour illustrations.,,,,,,9.78099E+12,,,"On cover: Baby animals : biological sciences. Reading level: PM 19-22, Fountas & Pinnell K-M. On front cover: Written for the Australian Curriculum: Science.",,"West Burleigh, QLD",2017,2017,,Sienna Osborne.,,Baby animals,,,,,Monograph,text,,,,,"Osborne, Sienna",,Publicious Pty Ltd,Suzie the scientist; 21,"Animals - InfancyAnimals - ReproductionLevelled readersBaby animalsAnimal reproductionPicture books",,,Baby animals : biological sciences
,1265616,,CLA PREP RAN,16 p. : col. ill.,,,,,,,,,Text type: Narrative.,,South Melbourne,2009,2009,,story by Beverley Randell ; illustrations by Isabel Lowe.,,Baby bear and the big fish,,,,,Monograph,text,,,,,"Randell, BeverleyLowe, Isabel",,Nelson Cengage Learning,PM benchmark;  level 7,"Bears - FictionFictionBears",,,
Summary: Baby Hippo goes for a walk but does not see the hungry lions. Can Mother Hippo save baby hippo?,1231752,,HR 6: RAN,16 pages : colour illustrations.,,,New edition.,,,9.78017E+12,,,"Reading age: 05, 05.5, 06 and 06.5.",,"Southbank, Vic.",2017,2017,,story by Beverley Randall ; illustrations by Elizabeth Russell-Arnot.,,Baby hippo,,,,,Monograph,text,,,,,"Randell, BeverleyRussell-Arnot, Elizabeth",,Cengage Learning Australia,"PM Library. Yellow series; PM Library. Yellow. Fiction. Guided reading level, 06; PM library; PM guided reading; ","Hippopotamuses - FictionAnimals - Infancy - FictionLions - FictionHippopotamusesBaby animalsLionsPredationFictionNarrativesLevelled readers",,,
